site,date,shell_num,ages,growth_y1,growth_y2,growth_y3,growth_y4,growth_y5,growth_y6,growth_y7,growth_y8,growth_y9,growth_y10,growth_y11,growth_y12
N. Cape: Barnstable,3/1/22,M1,NA,,,,,,,,,,,,
N. Cape: Barnstable,3/1/22,M2,NA,,,,,,,,,,,,
N. Cape: Dennis,10/10/21,M3,NA,NA,,,,,,,,,,,
Nobscusset,8/10/21,M4,2,,,,,,,,,,,,
N. Cape: Barnstable,8/11/21,M5,3,8.61,4.18,,,,,,,,,,
S. Cape: Chatham,8/10/21,1,2,2.65,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,2,NA,,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,3,NA,,,,,,,,,,,,
Nobscusset,12/3/21,4,NA,,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,5,NA,,,,,,,,,,,,
N. Cape: Barnstable,8/11/21,6,2,6.76,4.67,,,,,,,,,,
N. Cape: Barnstable,12/2/21,7,7,7.10,5.32,2.79,1.62,1.37,1.09,,,,,,
S. Cape: Chatham,6/14/22,8,5,0.74,4.26,1.72,1.59,,,,,,,,
S. Cape: Chatham,6/14/22,9,4,2.56,2.69,1.73,,,,,,,,,
?,6/14/22,10,NA,,,,,,,,,,,,
?,6/14/22,11,NA,,,,,,,,,,,,
Nobscusset,8/10/21,12,NA,,,,,,,,,,,,
S. Cape: Eel Pond,12/1/21,13,1,NA,,,,,,,,,,,
S. Cape: Eel Pond,12/1/21,14,2,2.53,,,,,,,,,,,
N. Cape: Provincetown,7/14/22,15,3,5.61,3.35,,,,,,,,,,
N. Cape: Dennis,7/13/22,16,2,NA,,,,,,,,,,,
S. Cape: Eel Pond,7/15/22,17,4,3.05,1.30,0.49,,,,,,,,,
S. Cape: Eel Pond,7/15/22,18,NA,NA,,,,,,,,,,,
N. Cape: Dennis,7/13/22,19,8,7.72,3.57,1.89,1.38,1.54,1.05,0.79,,,,,
N. Cape: Barnstable,11/5/22,Am1,7,4.92,2.59,2.95,1.71,1.19,0.94,,,,,,
N. Cape: Barnstable,11/5/22,Am2,8,4.93,4.98,2.59,1.49,1.42,1.25,0.88,,,,,
N. Cape: Barnstable,12/6/22,Am3,12,2.41,2.04,2.13,1.60,1.42,0.84,1.28,0.64,0.72,0.45,0.39,
N. Cape: Dennis,11/7/22,Am4,6,10.53,1.58,1.69,1.06,0.77,,,,,,,
S. Cape: Eel Pond,3/23/23,Am5,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am6,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am7,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am8,,,,,,,,,,,,,
S. Cape: Eel Pond,4/19/23,Am9,,,,,,,,,,,,,
S. Cape: Eel Pond,4/19/23,Am10,,,,,,,,,,,,,
S. Cape: Eel Pond,3/23/23,Am11,,,,,,,,,,,,,
S. Cape: Eel Pond,9/11/21,G1,3,3.48,1.34,,,,,,,,,,
S. Cape: Eel Pond,9/11/21,G2,2,2.24,,,,,,,,,,,
S. Cape: Eel Pond,9/11/21,G3,2,2.26,,,,,,,,,,,
S. Cape: Eel Pond,9/11/21,G4,2,1.92,,,,,,,,,,,
S. Cape: Eel Pond,8/3/22,G5,2,2.57,,,,,,,,,,,
N. Cape: Barnstable,7/13/22,G6,1,NA,,,,,,,,,,,
N. Cape: Provincetown,7/14/22,G7,3,5.81,3.18,,,,,,,,,,
S. Cape: Eel Pond,3/2/22,G8,NA,NA,,,,,,,,,,,
S. Cape: Eel Pond,10/6/21,G9,1,NA,,,,,,,,,,,
S. Cape: Eel Pond,11/8/21,G10,NA,NA,,,,,,,,,,,
S. Cape: Eel Pond,3/2/22,G11,6,1.84,1.36,1.61,1.20,0.63,,,,,,,
S. Cape: Eel Pond,5/18/22,G12,NA,NA,,,,,,,,,,,
S. Cape: Eel Pond,5/18/22,G13,1,NA,,,,,,,,,,,
S. Cape: Eel Pond,5/20/22,G14,4,2.01,1.25,0.60,,,,,,,,,
S. Cape: Eel Pond,5/20/22,G15,4,3.24,2.53,0.96,,,,,,,,,
N. Cape: Barnstable,3/1/22,G16,9,7.45,3.97,2.42,1.98,1.17,1.00,0.76,0.97,,,,
N. Cape: Provincetown,6/15/22,G17,2,5.63,,,,,,,,,,,
N. Cape: Provincetown,6/15/22,G18,2,5.85,,,,,,,,,,,
N. Cape: Provincetown,6/15/22,G19,4,5.78,3.00,1.37,,,,,,,,,
N. Cape: Provincetown,6/15/22,G20,4,6.62,3.27,1.58,,,,,,,,,
N. Cape: Provincetown,6/15/22,G21,3,5.47,2.80,,,,,,,,,,
N. Cape: Dennis,2/16/23,G22,4,4.34,3.19,1.86,,,,,,,,,
N. Cape: Dennis,2/16/23,G23,3,5.02,3.43,,,,,,,,,,
S. Cape: Eel Pond,6/16/22,G24,3,2.83,0.95,,,,,,,,,,
N. Cape: Dennis,9/7/21,G25,6,5.43,3.24,2.01,1.24,0.72,,,,,,,
N. Cape: Barnstable,11/4/21,G26,1,NA,,,,,,,,,,,
N. Cape: Barnstable,11/4/21,G27,1,NA,,,,,,,,,,,
S. Cape: Chatham,11/5/21,G28,3,4.54,2.81,,,,,,,,,,
S. Cape: Chatham,11/5/21,G29,NA,NA,,,,,,,,,,,
S. Cape: Eel Pond,8/13/21,G30,2,4.12,,,,,,,,,,,
S. Cape: Chatham,12/3/21,G31,3,5.12,1.52,,,,,,,,,,
N. Cape: Provincetown,10/26/22,G32,3,6.09,3.46,,,,,,,,,,
S. Cape: Eel Pond,4/18/22,G33,2,2.19,,,,,,,,,,,
S. Cape: Eel Pond,4/18/22,G34,1,NA,,,,,,,,,,,
N. Cape: Barnstable,8/11/22,G35,NA,,,,,,,,,,,,
N. Cape: Provincetown,10/26/22,G36,3,4.64,2.74,,,,,,,,,,
N. Cape: Provincetown,10/26/22,G37,2,6.30,,,,,,,,,,,
N. Cape: Provincetown,10/26/22,G38,3,5.53,2.78,,,,,,,,,,
S. Cape: Chatham,11/8/22,G39,1,NA,,,,,,,,,,,
S. Cape: Chatham,11/8/22,G40,2,4.42,,,,,,,,,,,
N. Cape: Barnstable,10/27/22,G41,4,5.82,2.95,2.01,,,,,,,,,
N. Cape: Provincetown,11/4/22,G42,4,6.16,2.72,1.36,,,,,,,,,
N. Cape: Provincetown,11/4/22,G43,3,5.21,2.46,,,,,,,,,,
N. Cape: Provincetown,11/4/22,G44,3,4.56,2.53,,,,,,,,,,
N. Cape: Dennis,11/7/22,G45,2,6.62,,,,,,,,,,,
N. Cape: Provincetown,12/4/22,G46,NA,NA,,,,,,,,,,,
S. Cape: Chatham,12/7/22,G47,NA,NA,,,,,,,,,,,
N. Cape: Dennis,11/7/22,G48,4,4.05,3.69,2.69,,,,,,,,,
S. Cape: Chatham,12/7/22,G49,NA,NA,,,,,,,,,,,
N. Cape: Barnstable,8/16/22,G50,1,NA,,,,,,,,,,,
S. Cape: Chatham,8/13/22,G51,1,NA,,,,,,,,,,,
N. Cape: Dennis,12/3/22,G52,4,7.72,4.26,3.01,,,,,,,,,
N. Cape: Barnstable,8/16/22,G53,2,6.89,,,,,,,,,,,
N. Cape: Barnstable,8/16/22,G54,2,4.33,,,,,,,,,,,
N. Cape: Provincetown,8/14/22,G55,8,5.75,3.62,2.26,1.39,1.56,0.97,0.65,,,,,
N. Cape: Provincetown,8/14/22,G56,6,4.72,2.95,1.92,1.79,1.15,,,,,,,
N. Cape: Barnstable,7/13/22,G57,7,3.97,4.05,1.87,1.45,0.96,0.60,,,,,,
S. Cape: Eel Pond,8/15/22,G58,4,4.16,1.31,0.58,,,,,,,,,
S. Cape: Eel Pond,8/15/22,G59,2,2.05,,,,,,,,,,,
S. Cape: Eel Pond,8/15/22,G60,2,1.43,,,,,,,,,,,
S. Cape: Chatham,1/18/23,G61,4,6.22,2.87,0.63,,,,,,,,,
N. Cape: Provincetown,1/21/23,G62,8,5.56,3.89,2.09,1.60,1.40,0.81,0.36,,,,,
S. Cape: Chatham,1/18/23,G63,4,6.93,2.50,1.15,,,,,,,,,
N. Cape: Barnstable,2/23/23,G64,1,NA,,,,,,,,,,,
S. Cape: Chatham,1/18/23,G65,1,NA,,,,,,,,,,,
N. Cape: Dennis,1/22/23,G66,2,9.38,,,,,,,,,,,
S. Cape: Chatham,2/22/23,G67,3,5.17,2.54,,,,,,,,,,
N. Cape: Provincetown,2/21/23,G68,3,4.28,3.27,,,,,,,,,,
N. Cape: Dennis,1/22/23,G69,7,4.17,3.49,1.13,1.56,1.20,0.85,,,,,,
N. Cape: Barnstable,5/9/23,G70,2,10.22,,,,,,,,,,,
N. Cape: Provincetown,5/10/23,G71,6,6.33,3.61,2.58,1.37,1.13,,,,,,,
N. Cape: Provincetown,5/10/23,G72,1,NA,,,,,,,,,,,
N. Cape: Provincetown,3/20/23,G73,1,NA,,,,,,,,,,,
N. Cape: Provincetown,3/20/23,G74,3,4.85,3.26,,,,,,,,,,
N. Cape: Provincetown,3/20/23,G75,3,6.41,3.28,,,,,,,,,,
N. Cape: Provincetown,3/20/23,G76,4,6.26,3.13,1.64,,,,,,,,,
N. Cape: Barnstable,3/21/23,G77,10,5.38,3.53,2.95,1.68,1.60,1.18,1.44,1.10,0.71,,,
N. Cape: Barnstable,3/21/23,G78,4,6.36,3.46,1.43,2.11,,,,,,,,
N. Cape: Provincetown,2/21/23,G79,2,6.37,,,,,,,,,,,
N. Cape: Provincetown,2/16/23,G80,3,5.76,2.62,,,,,,,,,,
N. Cape: Dennis,5/11/23,G81,9,8.40,3.12,1.60,1.55,1.15,0.85,0.56,0.31,,,,
S. Cape: Chatham,5/11/23,G82,1,NA,,,,,,,,,,,
S. Cape: Chatham,5/12/23,G83,1,NA,,,,,,,,,,,
N. Cape: Dennis,1/22/23,G84 ,NA,NA,,,,,,,,,,,
N. Cape: Dennis,1/22/23,G85,10,6.23,2.88,2.24,1.28,0.77,0.49,0.69,0.47,0.49,,,
N. Cape: Dennis,1/22/23,G86,4,5.20,4.30,2.36,,,,,,,,,
N. Cape: Dennis,1/22/23,G87,4,5.97,3.40,2.07,,,,,,,,,
N. Cape: Dennis,5/12/23,G88,4,6.96,4.19,2.73,,,,,,,,,
N. Cape: Dennis,5/12/23,G89,5,5.92,3.15,2.32,1.47,,,,,,,,
S. Cape: Eel Pond,5/8/23,G90,,,,,,,,,,,,,
S. Cape: Eel Pond,2/24/23,G91,,,,,,,,,,,,,
S. Cape: Eel Pond,2/24/23,G92,,,,,,,,,,,,,
S. Cape: Eel Pond,1/20/23,G93,,,,,,,,,,,,,
S. Cape: Chatham,4/20/23,G94,,,,,,,,,,,,,
N. Cape: Barnstable,4/21/23,G95,,,,,,,,,,,,,
N. Cape: Barnstable,3/21/23,G96,,,,,,,,,,,,,
N. Cape: Dennis,3/22/23,G97,,,,,,,,,,,,,
N. Cape: Barnstable,3/21/23,G98,,,,,,,,,,,,,
N. Cape: Provincetown,3/20/23,G99,,,,,,,,,,,,,
S. Cape: Eel Pond,12/5/22,G100,,,,,,,,,,,,,
N. Cape: Dennis,3/22/23,G101,,,,,,,,,,,,,
N. Cape: Dennis,3/22/23,G102,,,,,,,,,,,,,
N. Cape: Dennis,4/20/23,G103,,,,,,,,,,,,,
N. Cape: Barnstable,4/21/23,G104,,,,,,,,,,,,,
N. Cape: Dennis,4/20/23,G105,,,,,,,,,,,,,
N. Cape: Provincetown,4/17/23,G106,,,,,,,,,,,,,
S. Cape: Chatham,3/22/23,G107,,,,,,,,,,,,,
N. Cape: Dennis,3/22/23,G108,,,,,,,,,,,,,
S. Cape: Eel Pond,5/9/23,G109,,,,,,,,,,,,,
S. Cape: Eel Pond,1/20/23,G110,,,,,,,,,,,,,
S. Cape: Eel Pond,11/6/22,G111,,,,,,,,,,,,,
S. Cape: Eel Pond,11/6/22,G112,,,,,,,,,,,,,
S. Cape: Eel Pond,11/6/22,G113,,,,,,,,,,,,,
N. Cape: Dennis,3/22/23,G114,,,,,,,,,,,,,
N. Cape: Barnstable,3/21/23,G115,,,,,,,,,,,,,
S. Cape: Eel Pond,1/20/23,G116,,,,,,,,,,,,,
S. Cape: Eel Pond,12/5/22,G117,,,,,,,,,,,,,
S. Cape: Eel Pond,9/12/22,G118,,,,,,,,,,,,,
S. Cape: Eel Pond,9/12/22,G119,,,,,,,,,,,,,
S. Cape: Eel Pond,9/12/22,G120,,,,,,,,,,,,,
N. Cape: Provincetown,NA,A1,,,,,,,,,,,,,
N. Cape: Provincetown,NA,A2,,,,,,,,,,,,,
N. Cape: Provincetown,NA,A3,,,,,,,,,,,,,